idna_subject,checker_type,destination,tested_at
aq202.com,AVAILABILITY,origin.list,2024-02-12 12:08:32.792827
betofbet44.com,AVAILABILITY,origin.list,2024-02-12 12:08:33.378978
ap909.com,AVAILABILITY,origin.list,2024-02-12 12:08:33.530159
betofbet43.com,AVAILABILITY,origin.list,2024-02-12 12:08:33.908843
bd0001.com,AVAILABILITY,origin.list,2024-02-12 12:08:33.957354
b2gaysoagj.vip,AVAILABILITY,origin.list,2024-02-12 12:08:34.621558
9996217.com,AVAILABILITY,origin.list,2024-02-12 12:08:34.871019
be9900.com,AVAILABILITY,origin.list,2024-02-12 12:08:35.334974
bf1500.com,AVAILABILITY,origin.list,2024-02-12 12:08:35.477910
bc9880.com,AVAILABILITY,origin.list,2024-02-12 12:08:35.910149
amjsjt28.com,AVAILABILITY,origin.list,2024-02-12 12:08:36.845258
bf1303.com,AVAILABILITY,origin.list,2024-02-12 12:08:36.915436
be0123.com,AVAILABILITY,origin.list,2024-02-12 12:08:37.315351
amjsjt18.com,AVAILABILITY,origin.list,2024-02-12 12:08:37.482495
amjsjt38.com,AVAILABILITY,origin.list,2024-02-12 12:08:38.322693
ak9577.com,AVAILABILITY,origin.list,2024-02-12 12:08:38.593605
bet3652223.com,AVAILABILITY,origin.list,2024-02-12 12:08:38.808159
bc9300.com,AVAILABILITY,origin.list,2024-02-12 12:08:38.913445
asjhdown.com,AVAILABILITY,origin.list,2024-02-12 12:08:39.621368
bet3652224.com,AVAILABILITY,origin.list,2024-02-12 12:08:39.743243
ah7575.com,AVAILABILITY,origin.list,2024-02-12 12:08:40.104974
amjsjt98.com,AVAILABILITY,origin.list,2024-02-12 12:08:40.349803
999777q.com,AVAILABILITY,origin.list,2024-02-12 12:08:40.426353
abc99056.com,AVAILABILITY,origin.list,2024-02-12 12:08:40.933374
bet3652227.com,AVAILABILITY,origin.list,2024-02-12 12:08:41.353299
999888q.com,AVAILABILITY,origin.list,2024-02-12 12:08:41.503289
ah1077.com,AVAILABILITY,origin.list,2024-02-12 12:08:41.850434
8868y25.com,AVAILABILITY,origin.list,2024-02-12 12:08:41.870854
88y399.com,AVAILABILITY,origin.list,2024-02-12 12:08:42.353761
bet3652229.com,AVAILABILITY,origin.list,2024-02-12 12:08:43.018570
bet3652221.com,AVAILABILITY,origin.list,2024-02-12 12:08:43.069711
bet3652225.com,AVAILABILITY,origin.list,2024-02-12 12:08:43.367154
97701.vip,AVAILABILITY,origin.list,2024-02-12 12:08:43.584588
